nome;is_person;role_detail;role_group;numero_episodio;dubbing_type;imdb_nconst;nome_corretto_imdb;imdb_action
DEBBY TRUTNIK;True;Assistant to David Lynch;Additional Crew;Twin Peaks S01E03;;nm0874463;Debby Trutnik;A
BENJAMIN CONABLE;True;production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;;BENJAMIN CONABLE;X
LISSY KNAUER;True;DAILIES COORDINATOR;Additional Crew;Dark S01E09;;nm2104424;Lissy Knauer;A
CLEMENS SCHMID;True;DAILIES SUPERVISOR;Additional Crew;Dark S01E09;;;CLEMENS SCHMID;X
FRIEDA OBERLIN;True;HEAD OF POSTPRODUCTION;Additional Crew;Dark S01E09;;;FRIEDA OBERLIN;X
BERNIE GREINER;True;DIGITAL COLORISTS;Additional Crew;Dark S01E09;;;BERNIE GREINER;X
THOMAS WECKENMANN;True;DATA IO;Additional Crew;Dark S01E09;;;THOMAS WECKENMANN;X
SVEN NURI;True;POST-PRODUCTION SUPERVISOR;Additional Crew;Dark S01E09;;;SVEN NURI;X
STEFFEN PAUL;True;DIGITAL COLORISTS;Additional Crew;Dark S01E09;;;STEFFEN PAUL;X
ASTA CANCINGERIENE;True;Unit Nurse;Additional Crew;Chernobyl S01E01;;nm1505736;Asta Cancingeriene;A
HEIDI EL KHOLTI;True;Accounting Assistant;Additional Crew;Se7en;;nm0252691;Hedi El Kholti;M
MARIA NORMAN;True;Assistant to Mr. Kopelson;Additional Crew;Se7en;;;MARIA NORMAN;X
QUENTIN PIERRE;True;Assistant to Mr. Freeman;Additional Crew;Se7en;;nm0682652;Quentin Pierre;A
RACHEL SCHADT;True;Assistant to Mr. Fincher;Additional Crew;Se7en;;;RACHEL SCHADT;X
JANET STIRNER;True;Production Secretary;Additional Crew;Se7en;;;JANET STIRNER;X
BRAD DAVIS;True;Payroll Accountant;Additional Crew;Se7en;;;BRAD DAVIS;X
BASIL GRILLO;True;Office Staff Assistants;Additional Crew;Se7en;;;BASIL GRILLO;X
SKAISTE BERZINYTE;True;Set Production Assistants;Additional Crew;Chernobyl S01E01;;;SKAISTE BERZINYTE;X
KATHARINA WREDE;True;SET DEC PA;Additional Crew;Dark S01E09;;;KATHARINA WREDE;X
Isabelle Sauvanon;True;Attachée de Presse;Additional Crew;Amelie;;nm0767170;Isabelle Sauvanon;A
Véronique Lambert de Guise;True;Documentaliste;Additional Crew;Amelie;;nm2410264;Véronique Lambert de Guise;A
PETE MARTINEZ;True;;Additional Crew;Se7en;;nm0553657;Pete Martinez;A
Michel Folco;True;d'après la collection originale de;Additional Crew;Amelie;;;Michel Folco;X
MICHAEL CUTLER;True;Office Staff Assistant;Additional Crew;Se7en;;nm1653984;Michael Cutler;A
FRED GROSSMAN;True;Accountant;Additional Crew;Se7en;;nm0343639;Fred Grossman;A
LUKAS LUKOSEVICIUS;True;Set Production Assistants;Additional Crew;Chernobyl S01E01;;nm7287600;Lukas Lukosevicius;A
Sébastien Guyomard;True;Technicien Photomaton;Additional Crew;Amelie;;nm1220858;Sébastien Guyomard;A
Zuzanna Noirbert;True;Stagiaires;Additional Crew;Amelie;;;Zuzanna Noirbert;X
JASMIN OTT;True;DAILY SET DEC BUYERS;Additional Crew;Dark S01E09;;;JASMIN OTT;X
YVES BOCZEK;True;STORE MANAGER;Additional Crew;Dark S01E09;;nm3767653;Yves Boczek;A
Stéphane Lefebvre;True;Stagiaires;Additional Crew;Amelie;;;Stéphane Lefebvre;X
Christophe Henry;True;Stagiaires;Additional Crew;Amelie;;;Christophe Henry;X
Cyril Dusseaux;True;Stagiaires;Additional Crew;Amelie;;;Cyril Dusseaux;X
Nadia Le Bayon;True;Stagiaires;Additional Crew;Amelie;;;Nadia Le Bayon;X
Juliette Binaud;True;Stagiaires;Additional Crew;Amelie;;;Juliette Binaud;X
ANNA RITA NUNNARI DELL'ATTE;True;Office Staff Assistants;Additional Crew;Se7en;;;ANNA RITA NUNNARI DELL'ATTE;X
JUGITA PINTUKAITE-RAKSTIENE;True;Lithuanian Health & Safety Advisor;Additional Crew;Chernobyl S01E01;;;JUGITA PINTUKAITE-RAKSTIENE;X
HARRIS LIEBOWITZ;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;;HARRIS LIEBOWITZ;X
BRIAN SARVIS;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;;BRIAN SARVIS;X
HOWIE STEIN;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;;HOWIE STEIN;X
NICK BELL;True;production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;;NICK BELL;X
PATRICK MCDONALD;True;key set production assistant;Additional Crew;Eternal Sunshine of the Spotless Mind;;;PATRICK MCDONALD;X
DOTAN BONEN;True;security for mr. carrey;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm0094278;Dotan Bonen;A
JAMES LEVINE;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;;JAMES LEVINE;X
ALEX BARNOYA;True;First Aid;Additional Crew;Se7en;;nm0056104;Alex Barnoya;A
YVON LUCAS;True;Special Color Consultant;Additional Crew;Se7en;;;YVON LUCAS;X
DALE CALDWELL;True;Color Timer;Additional Crew;Se7en;;;DALE CALDWELL;X
LEE TUCKER;True;Preview Technical Supervisor;Additional Crew;Se7en;;;LEE TUCKER;X
JAIME OLMEDO;True;Foto Fija;Additional Crew;El desorden que dejas S01E03;;;JAIME OLMEDO;X
JAIRO IGLESIAS;True;Making Of;Additional Crew;El desorden que dejas S01E03;;;JAIRO IGLESIAS;X
ALEX ZOPPA;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1635454;Alex Zoppa;A
BUZ KRAMER;True;Craft Service;Additional Crew;Se7en;;nm0469470;Buzz Kramer;M
KRISTINA MECINSKKAITE;True;Lithuanian Health & Safety Consultant;Additional Crew;Chernobyl S01E01;;;KRISTINA MECINSKKAITE;X
ROBERT KNOX;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;nm5961475;Robert Knox;A
ETHAN DERNER;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;;ETHAN DERNER;X
MAC McGEARY;True;Health & Safety Advisors;Additional Crew;Chernobyl S01E01;;;MAC McGEARY;X
JAMES COX;True;Health & Safety Advisors;Additional Crew;Chernobyl S01E01;;;JAMES COX;X
LOLA KNOBLACH;True;DI SUPERVISOR;Additional Crew;Dark S01E09;;nm2804727;Lola Knoblach;A
JOHANNES RÖCKL;True;DI ENGINEERS;Additional Crew;Dark S01E09;;;JOHANNES RÖCKL;X
ALEXANDER FALK;True;TECHNICAL DIRECTOR;Additional Crew;Dark S01E09;;;ALEXANDER FALK;X
KAY-UWE SCHUCHERT;True;DI ENGINEERS;Additional Crew;Dark S01E09;;;KAY-UWE SCHUCHERT;X
GLENN KASPRZYCKI;True;AZ Facility Staff;Additional Crew;Apocalypse Now;;nm1554287;Glenn Kasprzycki;A
CHRISTIAN TRÖGER;True;ONLINE & FINISHING ARTISTS;Additional Crew;Dark S01E09;;;CHRISTIAN TRÖGER;X
DALE GRAHN;True;Color Timer;Additional Crew;Apocalypse Now;;nm10557807;Grant Dale;M
CATHERINE CRAIG;True;Archivists;Additional Crew;Apocalypse Now;;;CATHERINE CRAIG;X
ANAHID NAZARIAN;True;Archivists;Additional Crew;Apocalypse Now;;nm0623355;Anahid Nazarian;A
KATRINA WHALEN;True;post production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;;KATRINA WHALEN;X
MATHILDA BARCHMANN;True;ONLINE & FINISHING ARTISTS;Additional Crew;Dark S01E09;;;MATHILDA BARCHMANN;X
SIEGFRIED OBLINGER;True;TECHNICAL SUPERVISOR;Additional Crew;Dark S01E09;;;SIEGFRIED OBLINGER;X
ANGELA BERESFORD;True;post production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1819776;Angela Beresford;A
Thomas Parnet;True;Stagiaires;Additional Crew;Amelie;;nm0663220;Thomas Parnet;A
Céline de Seynes;True;;Additional Crew;Amelie;;;Céline de Seynes;X
Sophie Vermersch;True;Avec la collaboration de;Additional Crew;Amelie;;;Sophie Vermersch;X
BUZ PRESOCK;True;Set Production Assistants;Additional Crew;Fight Club;;nm0696206;Buz Presock;A
ROCCO ARNOT;True;2ND UNIT SET RUNNERS;Additional Crew;Dark S01E09;;nm9240763;Rocco Arndt;M
JOSE MOJICA;True;Chef;Additional Crew;Se7en;;;JOSE MOJICA;X
MARCO MOJICA;True;Sous Chef;Additional Crew;Se7en;;nm0596268;Marco Mojica;A
KATHY FELLEGARA;True;on set medics;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm7300741;Kathy Fellegary;M
TETIANA KHRAPACH;True;Costume/Make-Up Coordinator;Additional Crew;Chernobyl S01E01;;;TETIANA KHRAPACH;X
MICHAEL HERRON;True;Set Production Assistants;Additional Crew;Fight Club;;;MICHAEL HERRON;X
KSENIA KOCHNEVA;True;Art Department Accountant;Additional Crew;Chernobyl S01E01;;nm6024977;Senia Kochneva;M
MARINA OBRAZTSOVA;True;Cashier;Additional Crew;Chernobyl S01E01;;;MARINA OBRAZTSOVA;X
ALENA SMUK;True;Accountants;Additional Crew;Chernobyl S01E01;;;ALENA SMUK;X
LENA SERGEEVA;True;Accountants;Additional Crew;Chernobyl S01E01;;;LENA SERGEEVA;X
OLGA LAVRIK;True;Lawyer;Additional Crew;Chernobyl S01E01;;;OLGA LAVRIK;X
INNA KOKOREVA;True;Financial Managers;Additional Crew;Chernobyl S01E01;;;INNA KOKOREVA;X
JO VAUGHAN;True;Animal Handlers;Additional Crew;Chernobyl S01E01;;;JO VAUGHAN;X
NATALIA MONTES;True;Realización;Additional Crew;El desorden que dejas S01E03;;nm1221358;Natalia Montes;A
VANESSA RUIZ-LÁRREA;True;Directora Comercial;Additional Crew;El desorden que dejas S01E03;;;VANESSA RUIZ-LÁRREA;X
MARIA MANTIA;True;Set Production Assistants;Additional Crew;Fight Club;;nm0544116;Maria Mantia;A
PATRICK THORNHILL;True;Production Assistants;Additional Crew;Fight Club;;nm0861465;Patrick Thornhill;A
TONY DINGMAN;True;Production Assistants;Additional Crew;Apocalypse Now;;nm0227666;Tony Dingman;A
BARBARA PARKER;True;Production Assistants;Additional Crew;Apocalypse Now;;;BARBARA PARKER;X
MATT TOMICH;True;Production Assistants;Additional Crew;Apocalypse Now;;nm0866668;Matt Tomich;A
PATTI CLAYBOURNE;True;Production Assistants;Additional Crew;Apocalypse Now;;nm0165603;Patti Claybourne;A
BOB COLLINS;True;Morgan Freeman's Stand-in;Additional Crew;Se7en;;;BOB COLLINS;X
DENNIS JUBAN;True;Philippine Military Liaison;Additional Crew;Apocalypse Now;;nm0431781;Dennis Juban;A
JEFFREY RODERICK WOODS;True;Production Assistants;Additional Crew;Fight Club;;;JEFFREY RODERICK WOODS;X
Mª ÁNGELES SÁNCHEZ FANDIÑO;True;Compras Mobiliario y Ambientación;Additional Crew;El desorden que dejas S01E03;;;Mª ÁNGELES SÁNCHEZ FANDIÑO;X
CLAUDIA ALOISI;True;delegato RAI al programma;Additional Crew;La piovra S01E02;;nm0022064;Claudia Aloisi;A
ERNESTO NOVELLI;True;Supervising Color Technicians;Additional Crew;Apocalypse Now;;;ERNESTO NOVELLI;X
LARRY ROVETTI;True;Supervising Color Technicians;Additional Crew;Apocalypse Now;;nm0746311;Larry Rovetti;A
RAYMOND BULINSKI;True;Craft Service;Additional Crew;Fight Club;;nm0119926;Raymond Bulinski;A
BRANDON M. COX;True;Production Assistants;Additional Crew;Fight Club;;nm1005975;Brandon M. Cox;A
KIERON ESTRADA;True;Production Assistants;Additional Crew;Fight Club;;;KIERON ESTRADA;X
WAYNE FITZGERALD;True;Titles;Additional Crew;Apocalypse Now;;;WAYNE FITZGERALD;X
JUANJO CARRETERO;True;Director de Operaciones;Additional Crew;El desorden que dejas S01E03;;nm1366600;Juanjo Carretero;A
ROSA GARCÍA;True;Prensa y Comunicación;Additional Crew;El desorden que dejas S01E03;;;ROSA GARCÍA;X
HEBER FERNÁNDEZ;True;Desarrollo de Proyectos;Additional Crew;El desorden que dejas S01E03;;nm7327873;Héber Fernández;A
JUDY LOE;True;Production Assistant;Additional Crew;Yes, Prime Minister S01E08;;nm1051866;Judy Loe;A
CHRISTINE CROW;True;Assistant Floor Manager;Additional Crew;Yes, Prime Minister S01E08;;nm0189530;Christine Crow;A
JACKIE FOOTE;True;Floor Manager;Additional Crew;Yes, Prime Minister S01E08;;nm1128963;Jackie Foote;A
REG POULTER;True;Technical Co-Ordinator;Additional Crew;Yes, Prime Minister S01E08;;nm1465524;Reg Poulter;A
DARIA AVOCADUS;True;Office Production Assistant;Additional Crew;Chernobyl S01E01;;;DARIA AVOCADUS;X
INGA YURCHENKO;True;Accomodation Service;Additional Crew;Chernobyl S01E01;;;INGA YURCHENKO;X
MARK ARNESON;True;Police Advisors;Additional Crew;Se7en;;nm0036225;Mark Arneson;A
BOBB BRUNO;True;assistant to mr. brion;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm2553018;Bobb Bruno;A
DANIEL LINNIK-ZHURAVLIOV;True;Assistant to Producer;Additional Crew;Chernobyl S01E01;;nm7422162;Daniel Linnik-Zhuravliov;A
RANDY WALKER;True;Police Advisors;Additional Crew;Se7en;;;RANDY WALKER;X
LANA HALE;True;Copyright Clearances;Additional Crew;Se7en;;nm0354958;Lana Hale;A
JOE DOWNS;True;Location Accountant;Additional Crew;Chernobyl S01E01;;nm2875762;Joe Downs;A
PAUL TAGLIANETTI;True;;Additional Crew;Se7en;;nm0846581;Paul Taglianetti;A
DEMIAN ROSENBLATT;True;;Additional Crew;Se7en;;nm0742391;Demian Rosenblatt;A
LIZA AFONINA;True;Production Assistant;Additional Crew;Chernobyl S01E01;;nm10936505;Liza Afonina;A
ED ARNESON;True;Police Advisors;Additional Crew;Se7en;;nm0036223;Ed Arneson;A
BENJAMIN PADILLA;True;Sous Chef;Additional Crew;Se7en;;nm0655704;Benjamin Padilla;A
CÉSAR PENEDO;True;Producción;Additional Crew;El desorden que dejas S01E03;;;CÉSAR PENEDO;X
TELLY M. LAMIGUEIRO;True;Directora Financiera;Additional Crew;El desorden que dejas S01E03;;nm3409721;Telly M. Lamiguero;M
RAQUEL HERMO BEADE;True;Cost-controller;Additional Crew;El desorden que dejas S01E03;;;RAQUEL HERMO BEADE;X
ANDREW EZZHELIONOK;True;Financial Managers;Additional Crew;Chernobyl S01E01;;;ANDREW EZZHELIONOK;X
OLGA GAPOCHENKO;True;Head of Finance;Additional Crew;Chernobyl S01E01;;;OLGA GAPOCHENKO;X
DAVID CATALANO;True;production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm0134473;David Catalano;A
JOSÉ CORUXO;True;Producción;Additional Crew;El desorden que dejas S01E03;;nm15098929;Jose Coruxo;A
TEO ARCOS TAXES;True;Producción;Additional Crew;El desorden que dejas S01E03;;;TEO ARCOS TAXES;X
IVAN FERNÁNDEZ ÁLVAREZ;True;Producción;Additional Crew;El desorden que dejas S01E03;;nm14949533;Silvia Álvarez Fernández;M
NOELIA RODRÍGUEZ COSTA;True;Producción;Additional Crew;El desorden que dejas S01E03;;;NOELIA RODRÍGUEZ COSTA;X
JAIRO MAHUGO MONTILLA;True;Producción;Additional Crew;El desorden que dejas S01E03;;;JAIRO MAHUGO MONTILLA;X
ÓSCAR SOTELO ROJO;True;Producción;Additional Crew;El desorden que dejas S01E03;;;ÓSCAR SOTELO ROJO;X
JUAN SOTELO LORENZO;True;Producción;Additional Crew;El desorden que dejas S01E03;;;JUAN SOTELO LORENZO;X
ANTONIO LABANDEIRA;True;Producción;Additional Crew;El desorden que dejas S01E03;;;ANTONIO LABANDEIRA;X
PABLO VALENCIANO;True;Producción;Additional Crew;El desorden que dejas S01E03;;;PABLO VALENCIANO;X
WILFREDO PIÑA;True;Producción;Additional Crew;El desorden que dejas S01E03;;;WILFREDO PIÑA;X
DREW MARSH;True;Telecine Colorist;Additional Crew;Twin Peaks S01E03;;;DREW MARSH;X
LLOYD KIND;True;Production Assistants;Additional Crew;Apocalypse Now;;nm0454234;Lloyd Kind;A
JOHN WENTWORTH;True;Post Production Coordinator;Additional Crew;Twin Peaks S01E03;;;JOHN WENTWORTH;X
SUZANNE HARGROVE;True;Assistant to Gregg Fienberg;Additional Crew;Twin Peaks S01E03;;nm2597628;Suzanne Hargrove;A
BRIAN PEARSON;True;BUSINESS DEVELOPMENT;Additional Crew;Dark S01E09;;;BRIAN PEARSON;X
PAOLA CORREA;True;EXECUTIVE ASSISTANTS;Additional Crew;Dark S01E09;;nm4647048;Paola Correa;A
MAUREEN DUFFY;True;completion guarantors;Additional Crew;Eternal Sunshine of the Spotless Mind;;;MAUREEN DUFFY;X
PAULA SCHMIT;True;completion guarantors;Additional Crew;Eternal Sunshine of the Spotless Mind;;;PAULA SCHMIT;X
GREGORY TRATTNER;True;completion guarantors;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm0871153;Greg Trattner;M
Tom Clarke;True;Researchers;Additional Crew;Planet Earth S01E10;;nm2321640;Tom Clarke;A
WENDY COHEN;True;clearances and product placement by;Additional Crew;Eternal Sunshine of the Spotless Mind;;;WENDY COHEN;X
CLARE WALKER;True;BUSINESS AND LEGAL AFFAIRS;Additional Crew;Dark S01E09;;;CLARE WALKER;X
DAVID OH;True;POST PRODUCTION;Additional Crew;Dark S01E09;;;DAVID OH;X
PAYTRE TOPP;True;BUSINESS AND LEGAL AFFAIRS;Additional Crew;Dark S01E09;;nm6562267;Paytre Topp;A
NATALIE GUTTERIDGE;True;BUSINESS AND LEGAL AFFAIRS;Additional Crew;Dark S01E09;;nm9254138;Natalie Gutteridge;A
SUSAN HEGARTY;True;dialect coach for ms. winslet;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm0373682;Susan Hegarty;A
Luke Rainey;True;Colourist;Additional Crew;Planet Earth S01E10;;;Luke Rainey;X
RUTH POLLACK;True;assistant to ms. winslet;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1788485;Ruth Pollack;A
ASHLIN YU;True;EXECUTIVE ASSISTANTS;Additional Crew;Dark S01E09;;nm4162153;Ashlin Yu;A
Laurence DUPRE;True;Attachée de Presse TF1;Additional Crew;Les Cordiers Juge et Flic S02E03;;nm0243474;Laurence Dupré;A
MICHAL PODELL;True;production attorneys;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm2546835;Michal Podell;A
Robert Spika;True;Stagiaires;Additional Crew;Amelie;;;Robert Spika;X
JILL McCULLOUGH;True;Dialect Coaches;Additional Crew;Chernobyl S01E01;;nm0567200;Jill McCullough;A
IMOGEN KNIGHT;True;Movement Coach;Additional Crew;Chernobyl S01E01;;nm6313852;Imogen Knight;A
ROBERT DARWELL;True;production attorneys;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm0201806;Robert Darwell;A
ISOBEL HINSHELWOOD;True;Stills Research;Additional Crew;The World At War S01E03;;nm0385906;Isobel Hinshelwood;A
JOHN ROWE;True;Film Research;Additional Crew;The World At War S01E03;;;JOHN ROWE;X
MAGALI GIBERT;True;Head of Production;Additional Crew;Chernobyl S01E01;;nm1539221;Magali Gibert;A
DAVID CHAPLIN;True;Facilities HOD;Additional Crew;Chernobyl S01E01;;;DAVID CHAPLIN;X
DARIUS VERBICKAS;True;Military Advisor;Additional Crew;Chernobyl S01E01;;nm4658920;Darius Verbickas;A
ZACHARY ZOPPA;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;;ZACHARY ZOPPA;X
EUGY SEPTIMO;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm2670958;Eugy Septimo;A
SAGE LEHMAN;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1863043;Sage Lehman;A
Torsten Schneider;True;Stagiaires;Additional Crew;Amelie;;nm1221770;Torsten Schneider;A
Frank Niermann;True;Stagiaires;Additional Crew;Amelie;;;Frank Niermann;X
Mark Voit;True;Stagiaires;Additional Crew;Amelie;;;Mark Voit;X
DAN ISAACS;True;Chief Operating Officer;Additional Crew;Chernobyl S01E01;;;DAN ISAACS;X
NAOMI TODD;True;Dialect Coaches;Additional Crew;Chernobyl S01E01;;;NAOMI TODD;X
Brigitte de ROQUEMAUREL;True;Attachée de Presse Telfrance;Additional Crew;Les Cordiers Juge et Flic S02E03;;nm0740670;Brigitte de Roquemaurel;A
DAVID KOCH;True;production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;;DAVID KOCH;X
STEFANIE AZPIAZU;True;assistant to mr. bregman;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1282412;Stefanie Azpiazu;A
CHRIS PRAPHA;True;assistant to mr. golin;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm0695244;Chris Prapha;A
OONA OVERHOLTZER;True;assistant to mr. kaufman;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1710732;Oona Overholtzer;A
ARTHUR HUR;True;assistants to mr. gondry;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1712873;Arthur Hur;A
ADRIAN SCARTASCINI;True;assistants to mr. gondry;Additional Crew;Eternal Sunshine of the Spotless Mind;;;ADRIAN SCARTASCINI;X
AMRO HAMZAWI;True;assistants to mr. gondry;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm0359141;Amro Hamzawi;A
LIESEL ELAIN DAVIS;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;;LIESEL ELAIN DAVIS;X
JIM C. DAVIDSON;True;Production Accountant;Additional Crew;Fight Club;;;JIM C. DAVIDSON;X
JULIE ANN SNOW;True;2nd Assistant Accountants;Additional Crew;Fight Club;;;JULIE ANN SNOW;X
EILEEN M. DENNIS;True;2nd Assistant Accountants;Additional Crew;Fight Club;;nm1004232;Eileen M. Dennis;A
TADAS USTINAVICIUS;True;Armourer;Additional Crew;Chernobyl S01E01;;nm4636045;Tadas Ustinavicius;A
KAROLIS GRIGALIUNAS;True;Lithuanian Animal Trainer;Additional Crew;Chernobyl S01E01;;nm13054022;Karolis Grigaliunas;A
SHERRI WORREL;True;Animal Humane Representative;Additional Crew;Chernobyl S01E01;;nm7183889;Sherri Worrell;M
GWEN GRIFFITHS;True;Animal Handlers;Additional Crew;Chernobyl S01E01;;nm2358089;Gwen Griffiths;A
JOE HARTWICK, JR.;True;1st Assistant Accountant;Additional Crew;Fight Club;;nm1004434;Joe Hartwick Jr.;A
KATE KARBOWICZEK;True;production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm2672169;Kate Karbowniczek;M
LINDA CHEN;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;;LINDA CHEN;X
CARRIE BEST;True;Construction Accountant;Additional Crew;Fight Club;;nm0079824;Carrie Bews;M
ALISON NOROD;True;production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;;ALISON NOROD;X
GARY S. RAKE;True;production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1106165;Gary S. Rake;A
DEBBIE STAMPFLE;True;production assistants;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1284486;Debbie Stampfle;A
SEBASTIAN ALMEIDA;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm2090268;Sebastián Almeida;A
TAYLOR SINGER;True;second assistant to mr. carrey;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm7727696;Ginger Taylor;M
STEPHANIE DETIEGE;True;assistant to mr. carrey;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1189080;Stephanie DeTiege;A
HILARY BASING;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm2173263;Hilary Basing;A
JEFF SCHLESINGER;True;assistant to mr. bushell;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1016940;Jeff Schlesinger;A
STEPHANE LOISELLE;True;coordinators;Additional Crew;Eternal Sunshine of the Spotless Mind;;;STEPHANE LOISELLE;X
FRED BERGER;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm1757754;Fred Berger;A
DAVID J. COFINI;True;Accounting Assistant;Additional Crew;Fight Club;;nm1004174;David J. Cofini;A
GARY ARCHER;True;Gold Tooth by;Additional Crew;Se7en;;nm0033664;Gary Archer;A
KAREN CHALK WHEELER;True;Post-Production Accountant;Additional Crew;Fight Club;;nm0149939;Karen Chalk Wheeler;A
CINDY NEVINS;True;Payroll Accountant;Additional Crew;Fight Club;;nm0627516;Cindy Nevins;A
MELANIE LARUE;True;coordinators;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm15017947;Melanie Lauer;M
LAURA CROWLEY;True;Head of Legal & Business Affairs;Additional Crew;Chernobyl S01E01;;nm5782834;Laura Crowley;A
LINDSEY JAFFIN;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;nm0415516;Lindsey Jaffin;A
VALERIE NOLAN;True;interns;Additional Crew;Eternal Sunshine of the Spotless Mind;;;VALERIE NOLAN;X
Christophe Belena;True;Numérisation et conformation;Additional Crew;Amelie;;;Christophe Belena;X
Tina Lin;True;Numérisation et conformation;Additional Crew;Amelie;;;Tina Lin;X
Guillaume Uguet;True;Numérisation et conformation;Additional Crew;Amelie;;;Guillaume Uguet;X
François Dupuy;True;Traitement numérique;Additional Crew;Amelie;;nm1220003;François Dupuy;A
Abdel Ali Kassou;True;Traitement numérique;Additional Crew;Amelie;;nm1221024;Abdel Ali Kassou;A
Nicolas Pele;True;Traitement numérique;Additional Crew;Amelie;;;Nicolas Pele;X
Jérôme Arthuis;True;Coordinateur du projet;Additional Crew;Amelie;;nm0037718;Jérôme Arthuis;A
Alexandre Jeanneret;True;Traitement numérique;Additional Crew;Amelie;;nm1220977;Alexandre Jeanneret;A
Coralie Boulay;True;Responsable de l'argentique;Additional Crew;Amelie;;nm1265313;Coralie Boulay;A
KENNY BECKER;True;deluxe color timer;Additional Crew;Eternal Sunshine of the Spotless Mind;;;KENNY BECKER;X
Nicolas Nicole;True;Stagiaires;Additional Crew;Amelie;;;Nicolas Nicole;X
Gaël Exilie;True;Stagiaires;Additional Crew;Amelie;;;Gaël Exilie;X
Déborah Goigoux;True;Stagiaires;Additional Crew;Amelie;;;Déborah Goigoux;X
MICHAEL APLING;True;OFFICE COORDINATOR;Additional Crew;Dark S01E09;;nm1871549;Michael Apling;A
Christophe Cottet;True;Transfert vidéo;Additional Crew;Amelie;;nm14424907;Christophe Motte;M
Samantha Davis;True;Production Team Assistant;Additional Crew;Planet Earth S01E10;;;Samantha Davis;X
Laure Fourmental;True;Assisté de;Additional Crew;Amelie;;;Laure Fourmental;X
Tommaso Vergallo;True;Directeur des productions;Additional Crew;Amelie;;;Tommaso Vergallo;X
PAULA K. SHIMATSU-U;True;Assistant to Mark Frost;Additional Crew;Twin Peaks S01E03;;nm2596687;Paula K. Shimatsu-u;A
WILLIAM O'TOOLE;True;Financial Controller;Additional Crew;Chernobyl S01E01;;;WILLIAM O'TOOLE;X
ELAINE WAUGH;True;Post Production Supervisor;Additional Crew;Chernobyl S01E01;;nm0915283;Elaine Waugh;A
ALEJANDRO QUEIRO;True;Contable;Additional Crew;El desorden que dejas S01E03;;nm11625576;Alejandra Queiro;M
FERENC FULMER;True;Carnet Supervisor;Additional Crew;Chernobyl S01E01;;;FERENC FULMER;X
Tony Mills;True;Chargehand ASM;Additional Crew;Prime Suspect S01E01;;;Tony Mills;X
Aurore Ader;True;Assisté de;Additional Crew;Amelie;;nm1220153;Aurore Ader;A
Christophe Maratier;True;Conseillers armes;Additional Crew;Amelie;;nm0544938;Christophe Maratier;A
ANTONIO MOURELOS;True;Coach;Additional Crew;El desorden que dejas S01E03;;;ANTONIO MOURELOS;X
ANA TRIÑANES;True;Lingüista;Additional Crew;El desorden que dejas S01E03;;;ANA TRIÑANES;X
