nome;is_person;role_detail;role_group;numero_episodio;dubbing_type
FRED ROOS;TRUE;Co-Produced by;Producers;Apocalypse Now;
GRAY FREDRICKSON;TRUE;Co-Produced by;Producers;Apocalypse Now;
TOM STERNBERG;TRUE;Co-Produced by;Producers;Apocalypse Now;
VITTORIO STORARO;TRUE;Cinematography by;Cinematographers;Apocalypse Now;
DEAN TAVOULARIS;TRUE;Production Designer;Production Designers;Apocalypse Now;
FREDERIC FORREST;TRUE;Also Starring;Cast;Apocalypse Now;
ALBERT HALL;TRUE;;Cast;Apocalypse Now;
SAM BOTTOMS;TRUE;;Cast;Apocalypse Now;
LARRY FISHBURNE;TRUE;;Cast;Apocalypse Now;
DENNIS HOPPER;TRUE;and;Cast;Apocalypse Now;
G.D. SPRADLIN;TRUE;Co-Starring;Cast;Apocalypse Now;
HARRISON FORD;TRUE;Co-Starring;Cast;Apocalypse Now;
COLLEEN CAMP;TRUE;;Cast;Apocalypse Now;
CYNTHIA WOOD;TRUE;;Cast;Apocalypse Now;
CHRISTIAN MARQUAND;TRUE;;Cast;Apocalypse Now;
AURORE CLEMENT;TRUE;;Cast;Apocalypse Now;
RICHARD MARKS;TRUE;Supervising Editor;Editors;Apocalypse Now;
WALTER MURCH;TRUE;Editors;Editors;Apocalypse Now;
GERALD B. GREENBERG;TRUE;Editors;Editors;Apocalypse Now;
LISA FRUCHTMAN;TRUE;Editors;Editors;Apocalypse Now;
MONA SKAGER;TRUE;Associate Producer;Producers;Apocalypse Now;
DENNIS JAKOB;TRUE;Creative Consultant;Additional Crew;Apocalypse Now;
CARMINE COPPOLA;TRUE;Music by;Composers;Apocalypse Now;
FRANCIS FORD COPPOLA;TRUE;Music by;Composers;Apocalypse Now;
WALTER MURCH;TRUE;Sound Montage and Design;Sound Department;Apocalypse Now;
DOUG CLAYBOURNE;TRUE;Special Assistant to the Producers;Additional Crew;Apocalypse Now;
MELISSA MATHISON;TRUE;Executive Assistants;Additional Crew;Apocalypse Now;
JACK FRITZ;TRUE;Executive Assistants;Additional Crew;Apocalypse Now;
DAVID RUBINSON;TRUE;Music Produced by;Music Department;Apocalypse Now;
ANGELO GRAHAM;TRUE;Art Director;Art Directors;Apocalypse Now;
GEORGE R. NELSON;TRUE;Set Decorator;Set Decorators;Apocalypse Now;
LEON CHOOLUCK;TRUE;Production Managers;Production Managers;Apocalypse Now;
BARRIE OSBORNE;TRUE;Production Managers;Production Managers;Apocalypse Now;
JERRY ZIESMER;TRUE;Assistant Director;Second Unit Directors or Assistant Directors;Apocalypse Now;
LARRY J. FRANCO;TRUE;2nd Assistant Director;Second Unit Directors or Assistant Directors;Apocalypse Now;
TONY BRANDT;TRUE;Additional Assistant Director;Second Unit Directors or Assistant Directors;Apocalypse Now;
PATRICK GLEESON;TRUE;Master Synthesist;Music Department;Apocalypse Now;
RICHARD BEGGS;TRUE;Synthesists;Music Department;Apocalypse Now;
BERNARD L. KRAUSE;TRUE;Synthesists;Music Department;Apocalypse Now;
DON PRESTON;TRUE;Synthesists;Music Department;Apocalypse Now;
SHIRLEY WALKER;TRUE;Synthesists;Music Department;Apocalypse Now;
NYLE STEINER;TRUE;Synthesists;Music Department;Apocalypse Now;
RANDY HANSEN;TRUE;E.V.I. Soloist Guitarist;Music Department;Apocalypse Now;
MICKEY HART;TRUE;Percussion Based Score;Composers;Apocalypse Now;
AIRTO MOREIRA;TRUE;Music Production Assistance;Music Department;Apocalypse Now;
MICHAEL HINTON;TRUE;Music Production Assistance;Music Department;Apocalypse Now;
THE RHYTHM DEVILS;FALSE;Performed With;Miscellaneous Companies;Apocalypse Now;
JORDAN AMARANTHA;TRUE;;Music Department;Apocalypse Now;
GREG ERRICO;TRUE;;Music Department;Apocalypse Now;
ZAKIR HUSSAIN;TRUE;;Music Department;Apocalypse Now;
BILLY KREUTZMANN;TRUE;;Music Department;Apocalypse Now;
PHIL LESH;TRUE;;Music Department;Apocalypse Now;
JIM LOVELESS;TRUE;;Music Department;Apocalypse Now;
FLORA PURIM;TRUE;Special Thanks to;Thanks;Apocalypse Now;
ENRICO UMETELLI;TRUE;Camera Operator;Camera and Electrical Department;Apocalypse Now;
RINO BERNARDINI;TRUE;Camera Assistants;Camera and Electrical Department;Apocalypse Now;
MAURO MARCHETTI;TRUE;Camera Assistants;Camera and Electrical Department;Apocalypse Now;
EFREN LAPID;TRUE;Camera Assistants;Camera and Electrical Department;Apocalypse Now;
ROGILIO De La RAMA;TRUE;Camera Assistants;Camera and Electrical Department;Apocalypse Now;
GIUSEPPE ALBERTI;TRUE;Camera Assistants;Camera and Electrical Department;Apocalypse Now;
STEPHEN H. BURUM;TRUE;2nd Unit Director of Photography;Cinematographers;Apocalypse Now;
CALEB DESCHANEL;TRUE;Insert Director of Photography;Cinematographers;Apocalypse Now;
PIERO SERVO;TRUE;2nd Unit Cameraman;Camera and Electrical Department;Apocalypse Now;
HIRO NARITA;TRUE;Insert Camera Operator;Camera and Electrical Department;Apocalypse Now;
CHAS GERRETSEN;TRUE;Still Photographers;Camera and Electrical Department;Apocalypse Now;
JOSH WEINER;TRUE;Still Photographers;Camera and Electrical Department;Apocalypse Now;
DICK WHITE;TRUE;Aerial Coordinators;Camera and Electrical Department;Apocalypse Now;
DAVID JONES;TRUE;Aerial Coordinators;Camera and Electrical Department;Apocalypse Now;
DAVID BUTLER;TRUE;Aerial Cameraman;Camera and Electrical Department;Apocalypse Now;
DAVID NOWELL;TRUE;Assistant Cameramen;Camera and Electrical Department;Apocalypse Now;
WALTER MURCH;TRUE;Re-Recordists;Sound Department;Apocalypse Now;
MARK BERGER;TRUE;Re-Recordists;Sound Department;Apocalypse Now;
RICHARD BEGGS;TRUE;Re-Recordists;Sound Department;Apocalypse Now;
DALE STRUMPELL;TRUE;Re-Recordists;Sound Department;Apocalypse Now;
THOMAS SCOTT;TRUE;Re-Recordists;Sound Department;Apocalypse Now;
BLACKIE MALKIN;TRUE;Additional Editors;Editorial Department;Apocalypse Now;
EVAN LOTTMAN;TRUE;Additional Editors;Editorial Department;Apocalypse Now;
GEORGE BERNOT;TRUE;Associate Editor;Editorial Department;Apocalypse Now;
MICHAEL JACOBI;TRUE;First Assistant Film Editor;Editorial Department;Apocalypse Now;
TRACEY SMITH;TRUE;Assistant Film Editors;Editorial Department;Apocalypse Now;
STEVE SEMEL;TRUE;Assistant Film Editors;Editorial Department;Apocalypse Now;
RICHARD CANDIB;TRUE;Assistant Film Editors;Editorial Department;Apocalypse Now;
JERRY ROSS;TRUE;Assistant Film Editors;Editorial Department;Apocalypse Now;
MICHAEL KIRCHBERGER;TRUE;Assistant Film Editors;Editorial Department;Apocalypse Now;
KEN FISHER;TRUE;Assistant Film Editors;Editorial Department;Apocalypse Now;
JAY BOEKELHEIDE;TRUE;Assistant Film Editors;Editorial Department;Apocalypse Now;
ARTHUR COBURN;TRUE;Assistant Film Editors;Editorial Department;Apocalypse Now;
SUSAN ARNOLD;TRUE;Apprentice Film Editor;Editorial Department;Apocalypse Now;
RICHARD CIRINCIONE;TRUE;Supervising Sound Editor;Sound Department;Apocalypse Now;
LESLIE HODGSON;TRUE;Sound Editors;Sound Department;Apocalypse Now;
LES WIGGINS;TRUE;Sound Editors;Sound Department;Apocalypse Now;
PAT JACKSON;TRUE;Sound Editors;Sound Department;Apocalypse Now;
JAY MIRACLE;TRUE;Sound Editors;Sound Department;Apocalypse Now;
STAN WITT;TRUE;Music Editor;Music Department;Apocalypse Now;
LESLIE SHATZ;TRUE;Dialogue Editors;Sound Department;Apocalypse Now;
JOHN NUTT;TRUE;Dialogue Editors;Sound Department;Apocalypse Now;
JAMES A. BORGARDT;TRUE;Dialogue Editors;Sound Department;Apocalypse Now;
JOANNE D'ANTONIO;TRUE;Dialogue Editors;Sound Department;Apocalypse Now;
TIM HOLLAND;TRUE;Assistant Sound Editors;Sound Department;Apocalypse Now;
NINA WAX;TRUE;Assistant Sound Editors;Sound Department;Apocalypse Now;
KAREN WILSON;TRUE;Assistant Sound Editors;Sound Department;Apocalypse Now;
BARBARA McBANE;TRUE;Assistant Sound Editors;Sound Department;Apocalypse Now;
DAVE DAVIES;TRUE;Assistant Sound Editors;Sound Department;Apocalypse Now;
JEPHREY HETZ;TRUE;Apprentice Sound Editors;Sound Department;Apocalypse Now;
LOUIS BENIOFF;TRUE;Apprentice Sound Editors;Sound Department;Apocalypse Now;
JEFF WATTS;TRUE;Apprentice Sound Editors;Sound Department;Apocalypse Now;
BARBARA ELLIS;TRUE;Apprentice Sound Editors;Sound Department;Apocalypse Now;
DENISE THORP;TRUE;Apprentice Sound Editors;Sound Department;Apocalypse Now;
ROB FRUCHTMAN;TRUE;Apprentice Sound Editors;Sound Department;Apocalypse Now;
RUDI FEHR;TRUE;Foreign Post Production Coordinator;Additional Crew;Apocalypse Now;
DOUG CLAYBOURNE;TRUE;Post Production Coordinators;Additional Crew;Apocalypse Now;
BARBARA MARKS;TRUE;Post Production Coordinators;Additional Crew;Apocalypse Now;
JOHN LASALANDRA;TRUE;Production Executive;Producers;Apocalypse Now;
JOHN LASALANDRA;TRUE;and Construction Coordinator;Art Department;Apocalypse Now;
CHARLES E. JAMES;TRUE;Costume Supervisor;Costume and Wardrobe Department;Apocalypse Now;
DENNIS M. FILL;TRUE;Costumers;Costume and Wardrobe Department;Apocalypse Now;
GEORGE LITTLE;TRUE;Costumers;Costume and Wardrobe Department;Apocalypse Now;
LUSTER BAYLESS;TRUE;Costumers;Costume and Wardrobe Department;Apocalypse Now;
NORMAN BURZA;TRUE;Costumers;Costume and Wardrobe Department;Apocalypse Now;
JACK YOUNG;TRUE;Makeup;Makeup Department;Apocalypse Now;
FRED C. BLAU JR.;TRUE;Makeup;Makeup Department;Apocalypse Now;
JOHN CALVERT;TRUE;Playmate Show Choreographer;Additional Crew;Apocalypse Now;
JOSEPH LOMBARDI;TRUE;Special Effects Coordinators;Special Effects;Apocalypse Now;
A. D. FLOWERS;TRUE;Special Effects Coordinators;Special Effects;Apocalypse Now;
LARRY CAVANAUGH;TRUE;Special Effects Men;Special Effects;Apocalypse Now;
JERRY ENDLER;TRUE;Special Effects Men;Special Effects;Apocalypse Now;
RUDY LISCZAK;TRUE;Special Effects Men;Special Effects;Apocalypse Now;
JOHN FRASER;TRUE;Special Effects Men;Special Effects;Apocalypse Now;
RICHARD HELMER;TRUE;Special Effects Men;Special Effects;Apocalypse Now;
EDDIE AYAY;TRUE;Special Effects Men;Special Effects;Apocalypse Now;
TED MARTIN;TRUE;Special Effects Men;Special Effects;Apocalypse Now;
DAVID ST. ANA;TRUE;Special Effects Men;Special Effects;Apocalypse Now;
MARIO CARMONA;TRUE;Special Effects Men;Special Effects;Apocalypse Now;
PETE COOPER;TRUE;Marine Coordinators;Additional Crew;Apocalypse Now;
DENNIS MURPHY;TRUE;Marine Coordinators;Additional Crew;Apocalypse Now;
SHANE EDWARDS;TRUE;Marine Coordinators;Additional Crew;Apocalypse Now;
DICK WHITE;TRUE;Military Advisors;Additional Crew;Apocalypse Now;
FRED REXER, JR.;TRUE;Military Advisors;Additional Crew;Apocalypse Now;
LT. COLONEL PETER KAMA;TRUE;Military Advisors;Additional Crew;Apocalypse Now;
PAUL GREGORY;TRUE;Military Advisors;Additional Crew;Apocalypse Now;
PAUL HENSLER;TRUE;Military Advisors;Additional Crew;Apocalypse Now;
RICHARD DIOGUARDI;TRUE;Military Advisors;Additional Crew;Apocalypse Now;
DOUG RYAN;TRUE;Military Advisors;Additional Crew;Apocalypse Now;
JOHN ADDINGTON;TRUE;Fixed Wing Pilot;Additional Crew;Apocalypse Now;
JOHN C. READE;TRUE;Transportation Coordinators;Transportation Department;Apocalypse Now;
DENNIS HOLLIS;TRUE;Transportation Coordinators;Transportation Department;Apocalypse Now;
JAMES MURAKAMI;TRUE;Assistant Art Director;Art Department;Apocalypse Now;
ALEX TAVOULARIS;TRUE;Production Illustrators;Art Department;Apocalypse Now;
THOMAS A. WRIGHT;TRUE;Production Illustrators;Art Department;Apocalypse Now;
GARY FETTIS;TRUE;Leadman;Art Department;Apocalypse Now;
JAMES CASEY;TRUE;Sculptor;Art Department;Apocalypse Now;
BOB SCAIFE;TRUE;Construction Foreman;Art Department;Apocalypse Now;
ROGER DIETZ;TRUE;Set Artist;Art Department;Apocalypse Now;
NORMAN WEBSTER;TRUE;Production Accountant;Additional Crew;Apocalypse Now;
JEAN A. AUTREY;TRUE;Production Controller;Additional Crew;Apocalypse Now;
GWEN M. LUCAS;TRUE;Assistant Production Controller;Additional Crew;Apocalypse Now;
ALFREDO MARCHETTI;TRUE;Key Grip;Camera and Electrical Department;Apocalypse Now;
LUCIANO GALLI;TRUE;Gaffer;Camera and Electrical Department;Apocalypse Now;
NATHAN BOXER;TRUE;Production Recordists;Sound Department;Apocalypse Now;
JACK JACOBSEN;TRUE;Production Recordists;Sound Department;Apocalypse Now;
RANDY THOM;TRUE;Post Production Recordist;Sound Department;Apocalypse Now;
RAYMOND QUIROZ;TRUE;Script Supervisors;Script and Continuity Department;Apocalypse Now;
NANCY TONERY;TRUE;Script Supervisors;Script and Continuity Department;Apocalypse Now;
DOUG MADISON;TRUE;Property Master;Art Department;Apocalypse Now;
TOM SHAW;TRUE;Assistant Property Masters;Art Department;Apocalypse Now;
TOM ROYSDEN;TRUE;Assistant Property Masters;Art Department;Apocalypse Now;
MATT TOMICH;TRUE;Assistant Property Masters;Art Department;Apocalypse Now;
WILLIE E. HUNTER;TRUE;Assistant Property Masters;Art Department;Apocalypse Now;
TERRY LIEBLING;TRUE;Casting;Casting Directors;Apocalypse Now;
VIC RAMOS;TRUE;Casting;Casting Directors;Apocalypse Now;
EVA GARDOS;TRUE;Montagnard Tribesmen Casting;Casting Directors;Apocalypse Now;
LOU WHITEHILL;TRUE;Philippine Casting;Casting Directors;Apocalypse Now;
RANDY CARTER;TRUE;Philippine Casting;Casting Directors;Apocalypse Now;
HEIG BECK;TRUE;Casting Assistants;Casting Directors;Apocalypse Now;
KEN METCALFE;TRUE;Casting Assistants;Casting Directors;Apocalypse Now;
MARC COPPOLA;TRUE;Casting Assistants;Casting Directors;Apocalypse Now;
SUE BASTIAN;TRUE;Casting Assistants;Casting Directors;Apocalypse Now;
TERRY J. LEONARD;TRUE;Stunt Coordinator;Stunts;Apocalypse Now;
JOE FINNEGAN;TRUE;Stuntmen;Stunts;Apocalypse Now;
KERRY ROSSAL;TRUE;Stuntmen;Stunts;Apocalypse Now;
CHUCK WATERS;TRUE;Stuntmen;Stunts;Apocalypse Now;
STEVE BOYUM;TRUE;Stuntmen;Stunts;Apocalypse Now;
GABE SUMNER;TRUE;Campaign Coordinator;Additional Crew;Apocalypse Now;
IRWIN YABLANS;TRUE;U.S. & Canadian Producer's Representative;Sales Representatives / ISA;Apocalypse Now;
