nome;is_person;role_detail;role_group;numero_episodio;normalized_name;normalized_name_with_nickname;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
DEBORAH FINE;TRUE;U.S. Production Liaison and Research;Additional Crew;Apocalypse Now;deborah fine;;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;nm0277601;Deborah Fine;A;;
Daniele Massa;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;daniele massa;;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;nm3312446;Daniele Massa;A;;
Frédéric Daugeron;TRUE;Organisateur de fêtes;Additional Crew;Amelie;frederic daugeron;;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;nm0202288;Frédéric Daugeron;A;;
Frank Niermann;TRUE;Stagiaires;Additional Crew;Amelie;frank niermann;;;Frank Niermann;X;;Frank Niermann;X;;Frank Niermann;X;nm1220043;Frank Niemann;M;nm1220043;Frank Niemann;M;;Frank Niermann;X;;Frank Niermann;X;;
ANTONIO MOURELOS;TRUE;Coach;Additional Crew;El desorden que dejas S01E03;antonio mourelos;;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;ANTONIO MOURELOS;X;;
Sébastien Guyomard;TRUE;Technicien Photomaton;Additional Crew;Amelie;sebastien guyomard;;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;nm1220858;Sébastien Guyomard;A;;
Elisa Boltri;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;elisa boltri;;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;nm2448716;Elisa Boltri;A;;
KATHERINE JONES;TRUE;Medical Artist;Additional Crew;Fight Club;katherine jones;;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;nm2645706;Katherine Jones;A;;
ANA TRIÑANES;TRUE;Lingüista;Additional Crew;El desorden que dejas S01E03;ana trinanes;;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;ANA TRIÑANES;X;;
Erica Negri;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;erica negri;;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;nm4798877;Erica Negri;A;;
Firminio Pasquali;TRUE;Responsabile Amministrativo Cattleya;Additional Crew;Romanzo criminale S01E01;firminio pasquali;;nm1787142;Firminio Pasquali;A;nm1787142;Firminio Pasquali;A;nm1787142;Firminio Pasquali;A;nm1787142;Firminio Pasquali;A;nm1787142;Firminio Pasquali;A;nm1787142;Firminio Pasquali;A;nm1787142;Firminio Pasquali;A;;
Francesco Spadoni;TRUE;Revival;Additional Crew;Romanzo criminale S01E01;francesco spadoni;;nm2905044;Francesco Spadoni;A;nm2905044;Francesco Spadoni;A;nm2905044;Francesco Spadoni;A;nm2905044;Francesco Spadoni;A;nm2905044;Francesco Spadoni;A;nm2905044;Francesco Spadoni;A;nm2905044;Francesco Spadoni;A;;
Gabriele Stucchi;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;gabriele stucchi;;;Gabriele Stucchi;X;;Gabriele Stucchi;X;;Gabriele Stucchi;X;;Gabriele Stucchi;X;;Gabriele Stucchi;X;;Gabriele Stucchi;X;;Gabriele Stucchi;X;;
Gabriella Giannattasio;TRUE;Assistente;Additional Crew;Romanzo criminale S01E01;gabriella giannattasio;;;Gabriella Giannattasio;X;;Gabriella Giannattasio;X;;Gabriella Giannattasio;X;;Gabriella Giannattasio;X;;Gabriella Giannattasio;X;;Gabriella Giannattasio;X;;Gabriella Giannattasio;X;;
Giada Giannecchini;TRUE;Marketing;Additional Crew;Romanzo criminale S01E01;giada giannecchini;;nm17160540;Giada Giannecchini;A;nm17160540;Giada Giannecchini;A;nm17160540;Giada Giannecchini;A;nm17160540;Giada Giannecchini;A;nm17160540;Giada Giannecchini;A;nm17160540;Giada Giannecchini;A;nm17160540;Giada Giannecchini;A;;
JULIA P. PITT;TRUE;Assistant to Mr. Norton;Additional Crew;Fight Club;julia p pitt;;nm1004846;Julia P. Pitt;A;nm1004846;Julia P. Pitt;A;nm1004846;Julia P. Pitt;A;nm1004846;Julia P. Pitt;A;nm1004846;Julia P. Pitt;A;nm1004846;Julia P. Pitt;A;nm1004846;Julia P. Pitt;A;;
Gianluca Leoncini;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;gianluca leoncini;;nm7633092;Gianluca Leoncini;A;nm7633092;Gianluca Leoncini;A;nm7633092;Gianluca Leoncini;A;nm7633092;Gianluca Leoncini;A;nm7633092;Gianluca Leoncini;A;nm7633092;Gianluca Leoncini;A;nm7633092;Gianluca Leoncini;A;;
Fabio Peschisolido;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;fabio peschisolido;;;Fabio Peschisolido;X;;Fabio Peschisolido;X;;Fabio Peschisolido;X;;Fabio Peschisolido;X;;Fabio Peschisolido;X;;Fabio Peschisolido;X;;Fabio Peschisolido;X;;
SHELLEY HIGGINS;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;shelley higgins;;nm3988119;Shelley Higgins;A;nm3988119;Shelley Higgins;A;nm3988119;Shelley Higgins;A;nm3988119;Shelley Higgins;A;nm3988119;Shelley Higgins;A;nm3988119;Shelley Higgins;A;nm3988119;Shelley Higgins;A;;
ALEXANDER FALK;TRUE;TECHNICAL DIRECTOR;Additional Crew;Dark S01E09;alexander falk;;;ALEXANDER FALK;X;;ALEXANDER FALK;X;;ALEXANDER FALK;X;;ALEXANDER FALK;X;;ALEXANDER FALK;X;;ALEXANDER FALK;X;;ALEXANDER FALK;X;;
Claudia Passeri;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;claudia passeri;;;Claudia Passeri;X;;Claudia Passeri;X;;Claudia Passeri;X;;Claudia Passeri;X;;Claudia Passeri;X;;Claudia Passeri;X;;Claudia Passeri;X;;
BRIAN PEARSON;TRUE;BUSINESS DEVELOPMENT;Additional Crew;Dark S01E09;brian pearson;;nm9254136;Brian Pearson;A;nm9254136;Brian Pearson;A;nm9254136;Brian Pearson;A;nm9254136;Brian Pearson;A;nm9254136;Brian Pearson;A;nm9254136;Brian Pearson;A;nm9254136;Brian Pearson;A;;
JAMES HILL;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;james hill;;;JAMES HILL;X;;JAMES HILL;X;;JAMES HILL;X;;JAMES HILL;X;;JAMES HILL;X;;JAMES HILL;X;;JAMES HILL;X;;
Tony Mills;TRUE;Chargehand ASM;Additional Crew;Prime Suspect S01E01;tony mills;;;Tony Mills;X;;Tony Mills;X;;Tony Mills;X;;Tony Mills;X;;Tony Mills;X;;Tony Mills;X;;Tony Mills;X;;
RICHARD DIOGUARDI;TRUE;Military Advisors;Additional Crew;Apocalypse Now;richard dioguardi;;nm0227886;Richard Dioguardi;A;nm0227886;Richard Dioguardi;A;nm0227886;Richard Dioguardi;A;nm0227886;Richard Dioguardi;A;nm0227886;Richard Dioguardi;A;nm0227886;Richard Dioguardi;A;nm0227886;Richard Dioguardi;A;;
Saul Bass;TRUE;Pictorial Consultant;Additional Crew;Psycho;saul bass;;nm0000866;Saul Bass;A;nm0000866;Saul Bass;A;nm0000866;Saul Bass;A;nm0000866;Saul Bass;A;nm0000866;Saul Bass;A;nm0000866;Saul Bass;A;nm0000866;Saul Bass;A;;
Hélène Rey;TRUE;Stagiaire;Additional Crew;Amelie;helene rey;;nm1221633;Hélène Rey;A;nm1221633;Hélène Rey;A;nm1221633;Hélène Rey;A;nm1221633;Hélène Rey;A;nm1221633;Hélène Rey;A;nm1221633;Hélène Rey;A;nm1221633;Hélène Rey;A;;
HOWIE STEIN;TRUE;AZ Facility Staff;Additional Crew;Apocalypse Now;howie stein;;;HOWIE STEIN;X;;HOWIE STEIN;X;;HOWIE STEIN;X;;HOWIE STEIN;X;;HOWIE STEIN;X;;HOWIE STEIN;X;;HOWIE STEIN;X;;
Gaël Exilie;TRUE;Stagiaires;Additional Crew;Amelie;gael exilie;;;Gaël Exilie;X;;Gaël Exilie;X;;Gaël Exilie;X;;Gaël Exilie;X;;Gaël Exilie;X;;Gaël Exilie;X;;Gaël Exilie;X;;
Alessandro Spadea;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;alessandro spadea;;;Alessandro Spadea;X;;Alessandro Spadea;X;;Alessandro Spadea;X;;Alessandro Spadea;X;;Alessandro Spadea;X;;Alessandro Spadea;X;;Alessandro Spadea;X;;
Andrea Bartolazzi;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;andrea bartolazzi;;nm2450864;Andrea Bartolozzi;M;nm2450864;Andrea Bartolozzi;M;nm2450864;Andrea Bartolozzi;M;nm2450864;Andrea Bartolozzi;M;;Andrea Bartolazzi;X;;Andrea Bartolazzi;X;;Andrea Bartolazzi;X;;
ROBERT KNOX;TRUE;AZ Facility Staff;Additional Crew;Apocalypse Now;robert knox;;nm5961475;Robert Knox;A;nm5961475;Robert Knox;A;nm5961475;Robert Knox;A;nm5961475;Robert Knox;A;nm5961475;Robert Knox;A;nm5961475;Robert Knox;A;nm5961475;Robert Knox;A;;
Arianna De Chiara;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;arianna de chiara;;;Arianna De Chiara;X;;Arianna De Chiara;X;;Arianna De Chiara;X;;Arianna De Chiara;X;;Arianna De Chiara;X;;Arianna De Chiara;X;;Arianna De Chiara;X;;
ROBERT PEITSO;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;robert peitso;;nm3986909;Robert Peitso;A;nm3986909;Robert Peitso;A;nm3986909;Robert Peitso;A;nm3986909;Robert Peitso;A;nm3986909;Robert Peitso;A;nm3986909;Robert Peitso;A;nm3986909;Robert Peitso;A;;
Robert Spika;TRUE;Stagiaires;Additional Crew;Amelie;robert spika;;;Robert Spika;X;;Robert Spika;X;;Robert Spika;X;;Robert Spika;X;;Robert Spika;X;;Robert Spika;X;;Robert Spika;X;;
Cinzia Micozzi;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;cinzia micozzi;;;Cinzia Micozzi;X;;Cinzia Micozzi;X;;Cinzia Micozzi;X;;Cinzia Micozzi;X;;Cinzia Micozzi;X;;Cinzia Micozzi;X;;Cinzia Micozzi;X;;
Claudia Croce;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;claudia croce;;nm4133229;Claudia Croce;A;nm4133229;Claudia Croce;A;nm4133229;Claudia Croce;A;nm4133229;Claudia Croce;A;nm4133229;Claudia Croce;A;nm4133229;Claudia Croce;A;nm4133229;Claudia Croce;A;;
Rip Hampton O'Neil;TRUE;Directeur technique;Additional Crew;Amelie;rip hampton o neil;;nm0642055;Rip Hampton O'Neil;A;nm0642055;Rip Hampton O'Neil;A;nm0642055;Rip Hampton O'Neil;A;nm0642055;Rip Hampton O'Neil;A;nm0642055;Rip Hampton O'Neil;A;nm0642055;Rip Hampton O'Neil;A;nm0642055;Rip Hampton O'Neil;A;;
SHERRY NISEWANER;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;sherry nisewaner;;nm0632628;Sherry Nisewaner;A;nm0632628;Sherry Nisewaner;A;nm0632628;Sherry Nisewaner;A;nm0632628;Sherry Nisewaner;A;nm0632628;Sherry Nisewaner;A;nm0632628;Sherry Nisewaner;A;nm0632628;Sherry Nisewaner;A;;
STEFAN SEKULA;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;stefan sekula;;nm3988015;Stefan Sekula;A;nm3988015;Stefan Sekula;A;nm3988015;Stefan Sekula;A;nm3988015;Stefan Sekula;A;nm3988015;Stefan Sekula;A;nm3988015;Stefan Sekula;A;nm3988015;Stefan Sekula;A;;
Giuseppina Cascegna;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;giuseppina cascegna;;;Giuseppina Cascegna;X;;Giuseppina Cascegna;X;;Giuseppina Cascegna;X;;Giuseppina Cascegna;X;;Giuseppina Cascegna;X;;Giuseppina Cascegna;X;;Giuseppina Cascegna;X;;
CONCHI IGLESIAS;TRUE;Coach;Additional Crew;El desorden que dejas S01E03;conchi iglesias;;nm1975090;Conchi Iglesias;A;nm1975090;Conchi Iglesias;A;nm1975090;Conchi Iglesias;A;nm1975090;Conchi Iglesias;A;nm1975090;Conchi Iglesias;A;nm1975090;Conchi Iglesias;A;nm1975090;Conchi Iglesias;A;;
TODD BOEKELHEIDE;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;todd boekelheide;;;TODD BOEKELHEIDE;X;;TODD BOEKELHEIDE;X;;TODD BOEKELHEIDE;X;;TODD BOEKELHEIDE;X;;TODD BOEKELHEIDE;X;;TODD BOEKELHEIDE;X;;TODD BOEKELHEIDE;X;;
Serena Sostegni;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;serena sostegni;;;Serena Sostegni;X;;Serena Sostegni;X;;Serena Sostegni;X;;Serena Sostegni;X;;Serena Sostegni;X;;Serena Sostegni;X;;Serena Sostegni;X;;
FRANCIE BROWN;TRUE;Dialect Coach;Additional Crew;Fight Club;francie brown;;nm0113567;Francie Brown;A;nm0113567;Francie Brown;A;nm0113567;Francie Brown;A;nm0113567;Francie Brown;A;nm0113567;Francie Brown;A;nm0113567;Francie Brown;A;nm0113567;Francie Brown;A;;
Stefania Pittella;TRUE;Revival;Additional Crew;Romanzo criminale S01E01;stefania pittella;;;Stefania Pittella;X;;Stefania Pittella;X;;Stefania Pittella;X;;Stefania Pittella;X;;Stefania Pittella;X;;Stefania Pittella;X;;Stefania Pittella;X;;
Susanna Paganin;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;susanna paganin;;;Susanna Paganin;X;;Susanna Paganin;X;;Susanna Paganin;X;;Susanna Paganin;X;;Susanna Paganin;X;;Susanna Paganin;X;;Susanna Paganin;X;;
Tiziana Gianfriglia;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;tiziana gianfriglia;;nm2450189;Tiziana Gianfriglia;A;nm2450189;Tiziana Gianfriglia;A;nm2450189;Tiziana Gianfriglia;A;nm2450189;Tiziana Gianfriglia;A;nm2450189;Tiziana Gianfriglia;A;nm2450189;Tiziana Gianfriglia;A;nm2450189;Tiziana Gianfriglia;A;;
SIEGFRIED OBLINGER;TRUE;TECHNICAL SUPERVISOR;Additional Crew;Dark S01E09;siegfried oblinger;;;SIEGFRIED OBLINGER;X;;SIEGFRIED OBLINGER;X;;SIEGFRIED OBLINGER;X;;SIEGFRIED OBLINGER;X;;SIEGFRIED OBLINGER;X;;SIEGFRIED OBLINGER;X;;SIEGFRIED OBLINGER;X;;
Déborah Goigoux;TRUE;Stagiaires;Additional Crew;Amelie;deborah goigoux;;;Déborah Goigoux;X;;Déborah Goigoux;X;;Déborah Goigoux;X;;Déborah Goigoux;X;;Déborah Goigoux;X;;Déborah Goigoux;X;;Déborah Goigoux;X;;
Viviana Fazzalari;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;viviana fazzalari;;;Viviana Fazzalari;X;;Viviana Fazzalari;X;;Viviana Fazzalari;X;;Viviana Fazzalari;X;;Viviana Fazzalari;X;;Viviana Fazzalari;X;;Viviana Fazzalari;X;;
DIEGO GARCÍA;TRUE;Director de Ventas Media Services;Additional Crew;El desorden que dejas S01E03;diego garcia;;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;DIEGO GARCÍA;X;;
GLENN KASPRZYCKI;TRUE;AZ Facility Staff;Additional Crew;Apocalypse Now;glenn kasprzycki;;nm1554287;Glenn Kasprzycki;A;nm1554287;Glenn Kasprzycki;A;nm1554287;Glenn Kasprzycki;A;nm1554287;Glenn Kasprzycki;A;nm1554287;Glenn Kasprzycki;A;nm1554287;Glenn Kasprzycki;A;nm1554287;Glenn Kasprzycki;A;;
Cyril Dusseaux;TRUE;Stagiaires;Additional Crew;Amelie;cyril dusseaux;;;Cyril Dusseaux;X;;Cyril Dusseaux;X;;Cyril Dusseaux;X;;Cyril Dusseaux;X;;Cyril Dusseaux;X;;Cyril Dusseaux;X;;Cyril Dusseaux;X;;
JAIME OLMEDO;TRUE;Foto Fija;Additional Crew;El desorden que dejas S01E03;jaime olmedo;;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;JAIME OLMEDO;X;;
JAIRO IGLESIAS;TRUE;Making Of;Additional Crew;El desorden que dejas S01E03;jairo iglesias;;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;JAIRO IGLESIAS;X;;
Clémentine Darros;TRUE;Stagiaire;Additional Crew;Amelie;clementine darros;;;Clémentine Darros;X;;Clémentine Darros;X;;Clémentine Darros;X;;Clémentine Darros;X;;Clémentine Darros;X;;Clémentine Darros;X;;Clémentine Darros;X;;
Stéphane Lefebvre;TRUE;Stagiaires;Additional Crew;Amelie;stephane lefebvre;;;Stéphane Lefebvre;X;;Stéphane Lefebvre;X;;Stéphane Lefebvre;X;;Stéphane Lefebvre;X;;Stéphane Lefebvre;X;;Stéphane Lefebvre;X;;Stéphane Lefebvre;X;;
Roberta Peschisolido;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;roberta peschisolido;;;Roberta Peschisolido;X;;Roberta Peschisolido;X;;Roberta Peschisolido;X;;Roberta Peschisolido;X;;Roberta Peschisolido;X;;Roberta Peschisolido;X;;Roberta Peschisolido;X;;
Roberta Chiarenza;TRUE;Assistente;Additional Crew;Romanzo criminale S01E01;roberta chiarenza;;;Roberta Chiarenza;X;;Roberta Chiarenza;X;;Roberta Chiarenza;X;;Roberta Chiarenza;X;;Roberta Chiarenza;X;;Roberta Chiarenza;X;;Roberta Chiarenza;X;;
Patrizia Marchi;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;patrizia marchi;;;Patrizia Marchi;X;;Patrizia Marchi;X;;Patrizia Marchi;X;;Patrizia Marchi;X;;Patrizia Marchi;X;;Patrizia Marchi;X;;Patrizia Marchi;X;;
Inese Briede;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;inese briede;;;Inese Briede;X;;Inese Briede;X;;Inese Briede;X;;Inese Briede;X;;Inese Briede;X;;Inese Briede;X;;Inese Briede;X;;
Irma Basile;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;irma basile;;;Irma Basile;X;;Irma Basile;X;;Irma Basile;X;;Irma Basile;X;;Irma Basile;X;;Irma Basile;X;;Irma Basile;X;;
SVETLANA PALMER;TRUE;Archive Research;Additional Crew;Chernobyl S01E01;svetlana palmer;;nm1532611;Svetlana Palmer;A;nm1532611;Svetlana Palmer;A;nm1532611;Svetlana Palmer;A;nm1532611;Svetlana Palmer;A;nm1532611;Svetlana Palmer;A;nm1532611;Svetlana Palmer;A;nm1532611;Svetlana Palmer;A;;
Karen Hassan;TRUE;Responsabile Marketing;Additional Crew;Romanzo criminale S01E01;karen hassan;;;Karen Hassan;X;;Karen Hassan;X;;Karen Hassan;X;;Karen Hassan;X;;Karen Hassan;X;;Karen Hassan;X;;Karen Hassan;X;;
SVETLANA ALEXIEVICH;TRUE;"Additional Research Material ""Voices from Chernobyl"" by";Additional Crew;Chernobyl S01E01;svetlana alexievich;;nm3923525;Svetlana Alexievich;A;nm3923525;Svetlana Alexievich;A;nm3923525;Svetlana Alexievich;A;nm3923525;Svetlana Alexievich;A;nm3923525;Svetlana Alexievich;A;nm3923525;Svetlana Alexievich;A;nm3923525;Svetlana Alexievich;A;;
SUSAN THISTLE;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;susan thistle;;nm3987611;Susan Thistle;A;nm3987611;Susan Thistle;A;nm3987611;Susan Thistle;A;nm3987611;Susan Thistle;A;nm3987611;Susan Thistle;A;nm3987611;Susan Thistle;A;nm3987611;Susan Thistle;A;;
SHERRI WORREL;TRUE;Animal Humane Representative;Additional Crew;Chernobyl S01E01;sherri worrel;;nm7183889;Sherri Worrell;M;nm7183889;Sherri Worrell;M;nm7183889;Sherri Worrell;M;nm7183889;Sherri Worrell;M;nm7183889;Sherri Worrell;M;;SHERRI WORREL;X;;SHERRI WORREL;X;;
Marco Bianco;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;marco bianco;;;Marco Bianco;X;;Marco Bianco;X;;Marco Bianco;X;;Marco Bianco;X;;Marco Bianco;X;;Marco Bianco;X;;Marco Bianco;X;;
Marina Giorgi;TRUE;Team Cattleya;Additional Crew;Romanzo criminale S01E01;marina giorgi;;;Marina Giorgi;X;;Marina Giorgi;X;;Marina Giorgi;X;;Marina Giorgi;X;;Marina Giorgi;X;;Marina Giorgi;X;;Marina Giorgi;X;;
Mario Pizzuti;TRUE;Acting Coach;Additional Crew;Romanzo criminale S01E01;mario pizzuti;;;Mario Pizzuti;X;;Mario Pizzuti;X;;Mario Pizzuti;X;;Mario Pizzuti;X;;Mario Pizzuti;X;;Mario Pizzuti;X;;Mario Pizzuti;X;;
TERESA ZALESKA;TRUE;Production and Post Production Facilities Furnished Through;Additional Crew;Apocalypse Now;teresa zaleska;;nm3988075;Teresa Zaleska;A;nm3988075;Teresa Zaleska;A;nm3988075;Teresa Zaleska;A;nm3988075;Teresa Zaleska;A;nm3988075;Teresa Zaleska;A;nm3988075;Teresa Zaleska;A;nm3988075;Teresa Zaleska;A;;
HARRIS LIEBOWITZ;TRUE;AZ Facility Staff;Additional Crew;Apocalypse Now;harris liebowitz;;nm1308420;Harris Leibowitz;M;nm1308420;Harris Leibowitz;M;nm1308420;Harris Leibowitz;M;nm1308420;Harris Leibowitz;M;;HARRIS LIEBOWITZ;X;;HARRIS LIEBOWITZ;X;;HARRIS LIEBOWITZ;X;;
HASINA DEARY;TRUE;Assistants to Mr. Milchan;Additional Crew;Fight Club;hasina deary;;nm1004221;Hasina Deary;A;nm1004221;Hasina Deary;A;nm1004221;Hasina Deary;A;nm1004221;Hasina Deary;A;nm1004221;Hasina Deary;A;nm1004221;Hasina Deary;A;nm1004221;Hasina Deary;A;;
CARLOS MEIXIDE;TRUE;Lingüista;Additional Crew;El desorden que dejas S01E03;carlos meixide;;;CARLOS MEIXIDE;X;;CARLOS MEIXIDE;X;;CARLOS MEIXIDE;X;;CARLOS MEIXIDE;X;;CARLOS MEIXIDE;X;;CARLOS MEIXIDE;X;;CARLOS MEIXIDE;X;;
Sophie Mollard;TRUE;Stagiaire;Additional Crew;Amelie;sophie mollard;;;Sophie Mollard;X;;Sophie Mollard;X;;Sophie Mollard;X;;Sophie Mollard;X;;Sophie Mollard;X;;Sophie Mollard;X;;Sophie Mollard;X;;
MICHELE PLACIDO;TRUE;CONSULENZA ARTISTICA DI;Additional Crew;Romanzo criminale S01E01;michele placido;;;MICHELE PLACIDO;X;;MICHELE PLACIDO;X;;MICHELE PLACIDO;X;;MICHELE PLACIDO;X;;MICHELE PLACIDO;X;;MICHELE PLACIDO;X;;MICHELE PLACIDO;X;;
Sophie Vermersch;TRUE;Avec la collaboration de;Additional Crew;Amelie;sophie vermersch;;;Sophie Vermersch;X;;Sophie Vermersch;X;;Sophie Vermersch;X;;Sophie Vermersch;X;;Sophie Vermersch;X;;Sophie Vermersch;X;;Sophie Vermersch;X;;
PATTI ROBERTS NELSON;TRUE;Mr. Linson's Associate;Additional Crew;Fight Club;patti roberts nelson;;nm0731694;Patti Roberts-Nelson;A;nm0731694;Patti Roberts-Nelson;A;nm0731694;Patti Roberts-Nelson;A;nm0731694;Patti Roberts-Nelson;A;nm0731694;Patti Roberts-Nelson;A;nm0731694;Patti Roberts-Nelson;A;nm0731694;Patti Roberts-Nelson;A;;
PETER KAMA;TRUE;Military Advisors;Additional Crew;Apocalypse Now;peter kama;;nm0436362;Peter Kama;A;nm0436362;Peter Kama;A;nm0436362;Peter Kama;A;nm0436362;Peter Kama;A;nm0436362;Peter Kama;A;nm0436362;Peter Kama;A;nm0436362;Peter Kama;A;;
JAMES LEVINE;TRUE;AZ Facility Staff;Additional Crew;Apocalypse Now;james levine;;;JAMES LEVINE;X;;JAMES LEVINE;X;;JAMES LEVINE;X;;JAMES LEVINE;X;;JAMES LEVINE;X;;JAMES LEVINE;X;;JAMES LEVINE;X;;
PAUL HENSLER;TRUE;Military Advisors;Additional Crew;Apocalypse Now;paul hensler;;;PAUL HENSLER;X;;PAUL HENSLER;X;;PAUL HENSLER;X;;PAUL HENSLER;X;;PAUL HENSLER;X;;PAUL HENSLER;X;;PAUL HENSLER;X;;
Giulia Odoardi;TRUE;Stagisti;Additional Crew;La grande bellezza;giulia odoardi;;nm6040610;Giulia Odoardi;A;nm6040610;Giulia Odoardi;A;nm6040610;Giulia Odoardi;A;nm6040610;Giulia Odoardi;A;nm6040610;Giulia Odoardi;A;nm6040610;Giulia Odoardi;A;nm6040610;Giulia Odoardi;A;;
JOHN ASHLEY;TRUE;Hemisphere Productions;Additional Crew;Apocalypse Now;john ashley;;;JOHN ASHLEY;X;;JOHN ASHLEY;X;;JOHN ASHLEY;X;;JOHN ASHLEY;X;;JOHN ASHLEY;X;;JOHN ASHLEY;X;;JOHN ASHLEY;X;;
Ilaria Avanzi;TRUE;Produzione Indigo Film;Additional Crew;La grande bellezza;ilaria avanzi;;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;nm5254810;Ilaria Avanzi;A;;
Lara Lucchetta;TRUE;Ricerche e documentazione;Additional Crew;La grande bellezza;lara lucchetta;;nm3845158;Lara Lucchetta;A;nm3845158;Lara Lucchetta;A;nm3845158;Lara Lucchetta;A;nm3845158;Lara Lucchetta;A;nm3845158;Lara Lucchetta;A;nm3845158;Lara Lucchetta;A;nm3845158;Lara Lucchetta;A;;
