nome;is_person;role_detail;role_group;numero_episodio;normalized_name;normalized_name_with_nickname;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
KIRA SMITH;TRUE;utility sound technician;Sound Department;Eternal Sunshine of the Spotless Mind;kira smith;;nm0809000;Kira Smith;A;nm0809000;Kira Smith;A;nm0809000;Kira Smith;A;nm0809000;Kira Smith;A;nm0809000;Kira Smith;A;nm0809000;Kira Smith;A;nm0809000;Kira Smith;A;;
Mario Melchiorri;TRUE;Assistant bruiteur;Sound Department;Amelie;mario melchiorri;;nm0577489;Mario Melchiorri;A;nm0577489;Mario Melchiorri;A;nm0577489;Mario Melchiorri;A;nm0577489;Mario Melchiorri;A;nm0577489;Mario Melchiorri;A;nm0577489;Mario Melchiorri;A;nm0577489;Mario Melchiorri;A;;
Laurent POIRIER;TRUE;Son;Sound Department;Maigret S03E01;laurent poirier;;nm0688535;Laurent Poirier;A;nm0688535;Laurent Poirier;A;nm0688535;Laurent Poirier;A;nm0688535;Laurent Poirier;A;nm0688535;Laurent Poirier;A;nm0688535;Laurent Poirier;A;nm0688535;Laurent Poirier;A;;
Dario Calvari;TRUE;Montatore presa diretta;Sound Department;La grande bellezza;dario calvari;;nm3498832;Dario Calvari;A;nm3498832;Dario Calvari;A;nm3498832;Dario Calvari;A;nm3498832;Dario Calvari;A;nm3498832;Dario Calvari;A;nm3498832;Dario Calvari;A;nm3498832;Dario Calvari;A;;
Marie Jeanne WYCKMANS;TRUE;Bruitage;Sound Department;Maigret S03E01;marie jeanne wyckmans;;nm0927924;Marie-Jeanne Wyckmans;A;nm0927924;Marie-Jeanne Wyckmans;A;nm0927924;Marie-Jeanne Wyckmans;A;nm0927924;Marie-Jeanne Wyckmans;A;nm0927924;Marie-Jeanne Wyckmans;A;nm0927924;Marie-Jeanne Wyckmans;A;nm0927924;Marie-Jeanne Wyckmans;A;;
STEVE BOEDDEKER;TRUE;Assistant SFX Editors;Sound Department;Se7en;steve boeddeker;;nm0006655;Steve Boeddeker;A;nm0006655;Steve Boeddeker;A;nm0006655;Steve Boeddeker;A;nm0006655;Steve Boeddeker;A;nm0006655;Steve Boeddeker;A;nm0006655;Steve Boeddeker;A;nm0006655;Steve Boeddeker;A;;
KAM CHAN;TRUE;foley editors;Sound Department;Eternal Sunshine of the Spotless Mind;kam chan;;nm0150964;Kam Chan;A;nm0150964;Kam Chan;A;nm0150964;Kam Chan;A;nm0150964;Kam Chan;A;nm0150964;Kam Chan;A;nm0150964;Kam Chan;A;nm0150964;Kam Chan;A;;
GEORGE LARA;TRUE;foley mixer;Sound Department;Eternal Sunshine of the Spotless Mind;george lara;;;GEORGE LARA;X;;GEORGE LARA;X;;GEORGE LARA;X;;GEORGE LARA;X;;GEORGE LARA;X;;GEORGE LARA;X;;GEORGE LARA;X;;
MARIO FARAONI;TRUE;FONICI;Sound Department;8 1-2;mario faraoni;;nm0267101;Mario Faraoni;A;nm0267101;Mario Faraoni;A;nm0267101;Mario Faraoni;A;nm0267101;Mario Faraoni;A;nm0267101;Mario Faraoni;A;nm0267101;Mario Faraoni;A;nm0267101;Mario Faraoni;A;;
ALBERTO BARTOLOMEI;TRUE;FONICI;Sound Department;8 1-2;alberto bartolomei;;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;nm0059044;Alberto Bartolomei;A;;
