nome;is_person;role_detail;role_group;numero_episodio;imdb_nconst_88;nome_corretto_imdb_88;imdb_action_88;imdb_nconst_90;nome_corretto_imdb_90;imdb_action_90;imdb_nconst_92;nome_corretto_imdb_92;imdb_action_92;imdb_nconst_94;nome_corretto_imdb_94;imdb_action_94;imdb_nconst_96;nome_corretto_imdb_96;imdb_action_96;imdb_nconst_98;nome_corretto_imdb_98;imdb_action_98;imdb_nconst_99;nome_corretto_imdb_99;imdb_action_99;HUMAN nome imdb corretto;HUMAN codice imdb corretto
ADAM GLICK;TRUE;Electricians;Camera and Electrical Department;Se7en;;ADAM GLICK;X;;ADAM GLICK;X;;ADAM GLICK;X;;ADAM GLICK;X;;ADAM GLICK;X;;ADAM GLICK;X;;ADAM GLICK;X;;
ADAM JENKINS;TRUE;Re-recording Mixers;Sound Department;Twin Peaks S01E03;nm0420756;Adam Jenkins;A;nm0420756;Adam Jenkins;A;nm0420756;Adam Jenkins;A;nm0420756;Adam Jenkins;A;nm0420756;Adam Jenkins;A;nm0420756;Adam Jenkins;A;nm0420756;Adam Jenkins;A;;
ADAM LUNDGREN;TRUE;Brazhnik;Cast;Chernobyl S01E01;nm2050806;Adam Lundgren;A;nm2050806;Adam Lundgren;A;nm2050806;Adam Lundgren;A;nm2050806;Adam Lundgren;A;nm2050806;Adam Lundgren;A;nm2050806;Adam Lundgren;A;nm2050806;Adam Lundgren;A;;
STANLEY FERNANDEZ, JR.;TRUE;"""b"" camera first assistant";Camera and Electrical Department;Eternal Sunshine of the Spotless Mind;nm15590508;Stanley Fernandez Jr.;A;nm15590508;Stanley Fernandez Jr.;A;nm15590508;Stanley Fernandez Jr.;A;nm15590508;Stanley Fernandez Jr.;A;nm15590508;Stanley Fernandez Jr.;A;nm15590508;Stanley Fernandez Jr.;A;nm15590508;Stanley Fernandez Jr.;A;;
ADAM NAGAITIS;TRUE;Vasily Ignatenko;Cast;Chernobyl S01E01;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;;
ADAM NAGAITIS;TRUE;;Cast;Chernobyl S01E01;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;nm1835523;Adam Nagaitis;A;;
ADAM PEARLMAN;TRUE;Set Dressers;Art Department;Fight Club;;ADAM PEARLMAN;X;;ADAM PEARLMAN;X;;ADAM PEARLMAN;X;;ADAM PEARLMAN;X;;ADAM PEARLMAN;X;;ADAM PEARLMAN;X;;ADAM PEARLMAN;X;;
ADDY MCCLELLAND;TRUE;art department coordinator;Art Department;Eternal Sunshine of the Spotless Mind;nm0565765;Addy McClelland;A;nm0565765;Addy McClelland;A;nm0565765;Addy McClelland;A;nm0565765;Addy McClelland;A;nm0565765;Addy McClelland;A;nm0565765;Addy McClelland;A;nm0565765;Addy McClelland;A;;
ADOLF WOJTINEK;TRUE;Head of SFX Department Berlin GMBH;Special Effects;Chernobyl S01E01;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;;
ADOLF WOJTINEK;TRUE;SFX COORDINATOR;Special Effects;Dark S01E09;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;nm0937542;Adolf Wojtinek;A;;
